Time [s],Value
1.027780312500000,0b  0000  0000  0000  0101
1.027781312500000,0b  0000  0000  0000  0101
1.027782312500000,0b  0000  0000  0000  0101
1.027783312500000,0b  0000  0000  0000  0101
1.027784312500000,0b  0000  0000  0000  0101
1.027785312500000,0b  0000  0000  0000  0101
1.027786312500000,0b  0000  0000  0000  0101
1.027787312500000,0b  0000  0000  0000  0101
1.027788312500000,0b  0000  0000  0000  0101
1.027789312500000,0b  0000  0000  0000  0101
1.027790312500000,0b  0000  0000  0000  0111
1.027791312500000,0b  0000  0000  0000  0101
1.027792312500000,0b  0000  0000  0000  0101
1.027793312500000,0b  0000  0000  0000  0111
1.027794312500000,0b  0000  0000  0000  0101
1.027795312500000,0b  0000  0000  0000  0101
1.027796312500000,0b  0000  0000  0000  0101
1.027797312500000,0b  0000  0000  0000  0101
1.027798312500000,0b  0000  0000  0000  0101
1.027799312500000,0b  0000  0000  0000  0101
1.027800312500000,0b  0000  0000  0000  0101
1.027801312500000,0b  0000  0000  0000  0101
1.027802312500000,0b  0000  0000  0000  0101
1.027803312500000,0b  0000  0000  0000  0101
1.027804312500000,0b  0000  0000  0000  0101
1.027805312500000,0b  0000  0000  0000  0101
1.027806312500000,0b  0000  0000  0000  0101
1.027807312500000,0b  0000  0000  0000  0101
1.027808312500000,0b  0000  0000  0000  0101
1.027809312500000,0b  0000  0000  0000  0101
1.027810312500000,0b  0000  0000  0000  0101
1.027811312500000,0b  0000  0000  0000  0101
1.027812312500000,0b  0000  0000  0000  0101
1.027813312500000,0b  0000  0000  0000  0101
1.027814312500000,0b  0000  0000  0000  0101
1.027815312500000,0b  0000  0000  0000  0101
1.027816312500000,0b  0000  0000  0000  0101
1.027817312500000,0b  0000  0000  0000  0101
1.027818312500000,0b  0000  0000  0000  0111
1.027819312500000,0b  0000  0000  0000  0101
1.027820312500000,0b  0000  0000  0000  0101
1.027821312500000,0b  0000  0000  0000  0111
1.027822312500000,0b  0000  0000  0000  0101
1.027823312500000,0b  0000  0000  0000  0101
1.027824312500000,0b  0000  0000  0000  0101
1.027825312500000,0b  0000  0000  0000  0101
1.027826312500000,0b  0000  0000  0000  0101
1.027827312500000,0b  0000  0000  0000  0101
1.027828312500000,0b  0000  0000  0000  0101
1.027829312500000,0b  0000  0000  0000  0101
1.027830312500000,0b  0000  0000  0000  0101
1.027831312500000,0b  0000  0000  0000  0101
1.027832312500000,0b  0000  0000  0000  0101
1.027833312500000,0b  0000  0000  0000  0101
1.027834312500000,0b  0000  0000  0000  0111
1.027835312500000,0b  0000  0000  0000  0101
1.027836312500000,0b  0000  0000  0000  0101
1.027837312500000,0b  0000  0000  0000  0101
1.027838312500000,0b  0000  0000  0000  0101
1.027839312500000,0b  0000  0000  0000  0101
1.027840312500000,0b  0000  0000  0000  0101
1.027841312500000,0b  0000  0000  0000  0101
1.027842312500000,0b  0000  0000  0000  0101
1.027843312500000,0b  0000  0000  0000  0101
1.027844312500000,0b  0000  0000  0000  0101
1.027845312500000,0b  0000  0000  0000  0101
1.027846312500000,0b  0000  0000  0000  0101
1.027847312500000,0b  0000  0000  0000  0101
1.027848312500000,0b  0000  0000  0000  0111
1.027849312500000,0b  0000  0000  0000  0101
1.027850312500000,0b  0000  0000  0000  0101
1.027851312500000,0b  0000  0000  0000  0101
1.027852312500000,0b  0000  0000  0000  0101
1.027853312500000,0b  0000  0000  0000  0101
1.027854312500000,0b  0000  0000  0000  0101
1.027855312500000,0b  0000  0000  0000  0101
1.027856312500000,0b  0000  0000  0000  0101
1.027857312500000,0b  0000  0000  0000  0111
1.027858312500000,0b  0000  0000  0000  0101
1.027859312500000,0b  0000  0000  0000  0101
1.027860312500000,0b  0000  0000  0000  0101
1.027861312500000,0b  0000  0000  0000  0101
1.027862312500000,0b  0000  0000  0000  0101
1.027863312500000,0b  0000  0000  0000  0101
1.027864312500000,0b  0000  0000  0000  0101
1.027865312500000,0b  0000  0000  0000  0101
1.027866312500000,0b  0000  0000  0000  0101
